level,agent_name,weight_file,difficulty,obstacles,run_id,reward,steps,collisions,success
Level_3_Walls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,1,35,-148567.0,1000,8,0
Level_3_Walls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,1,36,-100983.0,1000,24,0
Level_3_Walls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,1,37,-47776.0,1000,13,0
Level_3_Walls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,1,38,-185969.0,1000,3,0
Level_3_Walls,D3QN_RewSh2_BIASED_0.4,weights_d3qn_RewSh2.pth,3,1,39,-169171.0,1000,1,0
Level_3_Walls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,1,20,-46569.0,1000,9,0
Level_3_Walls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,1,21,-19171.0,1000,6,0
Level_3_Walls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,1,22,-976.0,1000,0,0
Level_3_Walls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,1,23,-54767.0,1000,5,0
Level_3_Walls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,1,24,-55571.0,1000,11,0
Level_3_Walls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,1,25,-88369.0,1000,2,0
Level_3_Walls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,1,26,-186381.0,1000,2,0
Level_3_Walls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,1,27,-115468.0,1000,12,0
Level_3_Walls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,1,28,2092.0,33,0,1
Level_3_Walls,D3QN_RewSh2_BIASED_0.6,weights_d3qn_RewSh2.pth,3,1,29,-183969.0,1000,5,0
